Id,Prediction,Date,File,StartTime,ElapsedTime,BusyTime,Commands,editOrInsertPercentage,debugPercentage,navigationPercentage,focusPercentage,removePercentage,editPercentage,COMMAND_RATE,NAVIGATION_RATE,DEBUG_RATE,FOCUS_RATE,EDIT_RATE,REMOVE_RATE,INSERT_RATE,webLinkTimes,Web Page Visits
1,,Thu Oct 01 19:04:37 PDT 2020,SocialDistance.pl,1601604277481,2465,2465,(I)4(R)4(I)17,0.84,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,2.0,10.5,0.0,[]
,/modelData/A0UserStudy2010.arff,Thu Oct 01 19:04:37 PDT 2020,SocialDistance.pl, 1601604277481
2,,Thu Oct 01 19:04:39 PDT 2020,SocialDistance.pl,1601604279947,1634,1634,(I)25,1.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,[]
3,,Thu Oct 01 19:04:41 PDT 2020,SocialDistance.pl,1601604281647,4951,4951,(I)24,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,[]
4,,Thu Oct 01 19:04:46 PDT 2020,SocialDistance.pl,1601604286771,1693,1693,(I)25,1.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,[]
5,,Thu Oct 01 19:04:48 PDT 2020,SocialDistance.pl,1601604288465,2080,2080,(I)25,1.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,12.5,0.0,[]
6,,Thu Oct 01 19:04:50 PDT 2020,SocialDistance.pl,1601604290671,1721,1721,(I)25,1.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,[]
7,,Thu Oct 01 19:04:52 PDT 2020,SocialDistance.pl,1601604292393,2304,2304,(I)5(R)4(I)16,0.84,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,2.0,10.5,0.0,[]
8,,Thu Oct 01 19:04:54 PDT 2020,SocialDistance.pl,1601604294983,2975,2975,(R)8(I)17,0.68,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,4.0,8.5,0.0,[]
9,,Thu Oct 01 19:04:57 PDT 2020,SocialDistance.pl,1601604297959,42028,0,(I)5(R)7(F)1(R)1(F)1(I)4(R)4(I)1,0.4166666666666667,0.0,0.0,8.333333333333332,0.0,0.0,0.5714285714285714,0.0,0.0,0.047619047619047616,0.0,0.2857142857142857,0.23809523809523808,0.0,[]
